R	53.3776	-6.39072	D905	09 Feb 2025	D905\n11:17 - Dublin Connolly to Maynooth (0 mins late)\nArrived Coolmine next stop Clonsilla	Northbound
R	53.3815	-6.17699	E108	09 Feb 2025	E108\n11:25 - Howth to Greystones (1 mins late)\nDeparted Raheny next stop Harmonstown	Southbound
R	53.3917	-6.13678	E904	09 Feb 2025	E904\n10:20 - Greystones to Howth (4 mins late)\nDeparted Bayside next stop Sutton	Northbound
R	53.4157	-6.83395	A905	09 Feb 2025	A905\n09:05 - Sligo to Dublin Connolly (7 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4855	-6.15134	D804	09 Feb 2025	D804\n11:10 - Dublin Connolly to Drogheda (-1 mins late)\nArrived Donabate next stop Rush and Lusk	Northbound
R	53.712	-6.33538	A145	09 Feb 2025	A145\n10:05 - Belfast to Dublin Connolly (0 mins late)\nArrived Drogheda next stop Dublin Connolly	Southbound
R	53.712	-6.33538	A146	09 Feb 2025	A146\n10:50 - Dublin Connolly to Belfast (1 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.9676	-8.30438	A902	09 Feb 2025	A902\n09:05 - Dublin Connolly to Sligo (0 mins late)\nArrived Boyle next stop Ballymote	Northbound
R	53.9676	-8.30438	A907	09 Feb 2025	A907\n11:05 - Sligo to Dublin Connolly (0 mins late)\nArrived Boyle next stop Carrick on Shannon	Southbound
T	53.2043	-6.10046	E205	09 Feb 2025	E205\n10:24 - Malahide to Bray(0 mins late)\nTERMINATED Bray at 11:38	Southbound
T	53.378	-6.58993	D904	09 Feb 2025	D904\n10:50 - Dublin Connolly to Maynooth(0 mins late)\nTERMINATED Maynooth at 11:33	Northbound
T	53.4349	-6.46898	D372	09 Feb 2025	D372\n11:21 - Clonsilla to M3 Parkway(-1 mins late)\nTERMINATED M3 Parkway at 11:31	Northbound
